r: 1, g: 1, u: 1, b: 1, w: 37
r: 7, g: 1, u: 1, b: 1, w: 31
r: 1, g: 1, u: 1, b: 8, w: 30
r: 1, g: 1, u: 2, b: 7, w: 30
r: 1, g: 2, u: 1, b: 7, w: 30
r: 2, g: 1, u: 1, b: 7, w: 30
r: 1, g: 1, u: 3, b: 6, w: 30
r: 1, g: 2, u: 2, b: 6, w: 30
r: 2, g: 1, u: 2, b: 6, w: 30
r: 1, g: 3, u: 1, b: 6, w: 30
r: 2, g: 2, u: 1, b: 6, w: 30
r: 3, g: 1, u: 1, b: 6, w: 30
r: 1, g: 1, u: 4, b: 5, w: 30
r: 1, g: 2, u: 3, b: 5, w: 30
r: 2, g: 1, u: 3, b: 5, w: 30
r: 1, g: 3, u: 2, b: 5, w: 30
r: 2, g: 2, u: 2, b: 5, w: 30
r: 3, g: 1, u: 2, b: 5, w: 30
r: 1, g: 4, u: 1, b: 5, w: 30
r: 2, g: 3, u: 1, b: 5, w: 30
r: 3, g: 2, u: 1, b: 5, w: 30
r: 4, g: 1, u: 1, b: 5, w: 30
r: 1, g: 1, u: 5, b: 4, w: 30
r: 1, g: 2, u: 4, b: 4, w: 30
r: 2, g: 1, u: 4, b: 4, w: 30
r: 1, g: 3, u: 3, b: 4, w: 30
r: 2, g: 2, u: 3, b: 4, w: 30
r: 3, g: 1, u: 3, b: 4, w: 30
r: 1, g: 4, u: 2, b: 4, w: 30
r: 2, g: 3, u: 2, b: 4, w: 30
r: 3, g: 2, u: 2, b: 4, w: 30
r: 4, g: 1, u: 2, b: 4, w: 30
r: 1, g: 5, u: 1, b: 4, w: 30
r: 2, g: 4, u: 1, b: 4, w: 30
r: 3, g: 3, u: 1, b: 4, w: 30
r: 4, g: 2, u: 1, b: 4, w: 30
r: 5, g: 1, u: 1, b: 4, w: 30
r: 1, g: 1, u: 6, b: 3, w: 30
r: 1, g: 2, u: 5, b: 3, w: 30
r: 2, g: 1, u: 5, b: 3, w: 30
r: 1, g: 3, u: 4, b: 3, w: 30
r: 2, g: 2, u: 4, b: 3, w: 30
r: 3, g: 1, u: 4, b: 3, w: 30
r: 1, g: 4, u: 3, b: 3, w: 30
r: 2, g: 3, u: 3, b: 3, w: 30
r: 3, g: 2, u: 3, b: 3, w: 30
r: 4, g: 1, u: 3, b: 3, w: 30
r: 1, g: 5, u: 2, b: 3, w: 30
r: 2, g: 4, u: 2, b: 3, w: 30
r: 3, g: 3, u: 2, b: 3, w: 30
r: 4, g: 2, u: 2, b: 3, w: 30
r: 5, g: 1, u: 2, b: 3, w: 30
r: 1, g: 6, u: 1, b: 3, w: 30
r: 2, g: 5, u: 1, b: 3, w: 30
r: 3, g: 4, u: 1, b: 3, w: 30
r: 4, g: 3, u: 1, b: 3, w: 30
r: 5, g: 2, u: 1, b: 3, w: 30
r: 6, g: 1, u: 1, b: 3, w: 30
r: 1, g: 1, u: 7, b: 2, w: 30
r: 1, g: 2, u: 6, b: 2, w: 30
r: 2, g: 1, u: 6, b: 2, w: 30
r: 1, g: 3, u: 5, b: 2, w: 30
r: 2, g: 2, u: 5, b: 2, w: 30
r: 3, g: 1, u: 5, b: 2, w: 30
r: 1, g: 4, u: 4, b: 2, w: 30
r: 2, g: 3, u: 4, b: 2, w: 30
r: 3, g: 2, u: 4, b: 2, w: 30
r: 4, g: 1, u: 4, b: 2, w: 30
r: 1, g: 5, u: 3, b: 2, w: 30
r: 2, g: 4, u: 3, b: 2, w: 30
r: 3, g: 3, u: 3, b: 2, w: 30
r: 4, g: 2, u: 3, b: 2, w: 30
r: 5, g: 1, u: 3, b: 2, w: 30
r: 1, g: 6, u: 2, b: 2, w: 30
r: 2, g: 5, u: 2, b: 2, w: 30
r: 3, g: 4, u: 2, b: 2, w: 30
r: 4, g: 3, u: 2, b: 2, w: 30
r: 5, g: 2, u: 2, b: 2, w: 30
r: 6, g: 1, u: 2, b: 2, w: 30
r: 1, g: 7, u: 1, b: 2, w: 30
r: 2, g: 6, u: 1, b: 2, w: 30
r: 3, g: 5, u: 1, b: 2, w: 30
r: 4, g: 4, u: 1, b: 2, w: 30
r: 5, g: 3, u: 1, b: 2, w: 30
r: 6, g: 2, u: 1, b: 2, w: 30
r: 7, g: 1, u: 1, b: 2, w: 30
r: 1, g: 1, u: 8, b: 1, w: 30
r: 1, g: 2, u: 7, b: 1, w: 30
r: 2, g: 1, u: 7, b: 1, w: 30
r: 1, g: 3, u: 6, b: 1, w: 30
r: 2, g: 2, u: 6, b: 1, w: 30
r: 3, g: 1, u: 6, b: 1, w: 30
r: 1, g: 4, u: 5, b: 1, w: 30
r: 2, g: 3, u: 5, b: 1, w: 30
r: 3, g: 2, u: 5, b: 1, w: 30
r: 4, g: 1, u: 5, b: 1, w: 30
r: 1, g: 5, u: 4, b: 1, w: 30
r: 2, g: 4, u: 4, b: 1, w: 30
r: 3, g: 3, u: 4, b: 1, w: 30
r: 4, g: 2, u: 4, b: 1, w: 30
r: 5, g: 1, u: 4, b: 1, w: 30
r: 1, g: 6, u: 3, b: 1, w: 30
r: 2, g: 5, u: 3, b: 1, w: 30
r: 3, g: 4, u: 3, b: 1, w: 30
r: 4, g: 3, u: 3, b: 1, w: 30
r: 5, g: 2, u: 3, b: 1, w: 30
r: 6, g: 1, u: 3, b: 1, w: 30
r: 1, g: 7, u: 2, b: 1, w: 30
r: 2, g: 6, u: 2, b: 1, w: 30
r: 3, g: 5, u: 2, b: 1, w: 30
r: 4, g: 4, u: 2, b: 1, w: 30
r: 5, g: 3, u: 2, b: 1, w: 30
r: 6, g: 2, u: 2, b: 1, w: 30
r: 7, g: 1, u: 2, b: 1, w: 30
r: 1, g: 8, u: 1, b: 1, w: 30
r: 2, g: 7, u: 1, b: 1, w: 30
r: 3, g: 6, u: 1, b: 1, w: 30
r: 4, g: 5, u: 1, b: 1, w: 30
r: 5, g: 4, u: 1, b: 1, w: 30
r: 6, g: 3, u: 1, b: 1, w: 30
r: 7, g: 2, u: 1, b: 1, w: 30
r: 8, g: 1, u: 1, b: 1, w: 30
r: 1, g: 1, u: 1, b: 9, w: 29
r: 1, g: 1, u: 2, b: 8, w: 29
r: 1, g: 2, u: 1, b: 8, w: 29
r: 2, g: 1, u: 1, b: 8, w: 29
r: 1, g: 1, u: 3, b: 7, w: 29
r: 1, g: 2, u: 2, b: 7, w: 29
r: 2, g: 1, u: 2, b: 7, w: 29
r: 1, g: 3, u: 1, b: 7, w: 29
r: 2, g: 2, u: 1, b: 7, w: 29
r: 3, g: 1, u: 1, b: 7, w: 29
r: 1, g: 1, u: 4, b: 6, w: 29
r: 1, g: 2, u: 3, b: 6, w: 29
r: 2, g: 1, u: 3, b: 6, w: 29
r: 1, g: 3, u: 2, b: 6, w: 29
r: 2, g: 2, u: 2, b: 6, w: 29
r: 3, g: 1, u: 2, b: 6, w: 29
r: 1, g: 4, u: 1, b: 6, w: 29
r: 2, g: 3, u: 1, b: 6, w: 29
r: 3, g: 2, u: 1, b: 6, w: 29
r: 4, g: 1, u: 1, b: 6, w: 29
r: 1, g: 1, u: 5, b: 5, w: 29
r: 1, g: 2, u: 4, b: 5, w: 29
r: 2, g: 1, u: 4, b: 5, w: 29
r: 1, g: 3, u: 3, b: 5, w: 29
r: 2, g: 2, u: 3, b: 5, w: 29
r: 3, g: 1, u: 3, b: 5, w: 29
r: 1, g: 4, u: 2, b: 5, w: 29
r: 2, g: 3, u: 2, b: 5, w: 29
r: 3, g: 2, u: 2, b: 5, w: 29
r: 4, g: 1, u: 2, b: 5, w: 29
r: 1, g: 5, u: 1, b: 5, w: 29
r: 2, g: 4, u: 1, b: 5, w: 29
r: 3, g: 3, u: 1, b: 5, w: 29
r: 4, g: 2, u: 1, b: 5, w: 29
r: 5, g: 1, u: 1, b: 5, w: 29
r: 1, g: 1, u: 6, b: 4, w: 29
r: 1, g: 2, u: 5, b: 4, w: 29
r: 2, g: 1, u: 5, b: 4, w: 29
r: 1, g: 3, u: 4, b: 4, w: 29
r: 2, g: 2, u: 4, b: 4, w: 29
r: 3, g: 1, u: 4, b: 4, w: 29
r: 1, g: 4, u: 3, b: 4, w: 29
r: 2, g: 3, u: 3, b: 4, w: 29
r: 3, g: 2, u: 3, b: 4, w: 29
r: 4, g: 1, u: 3, b: 4, w: 29
r: 1, g: 5, u: 2, b: 4, w: 29
r: 2, g: 4, u: 2, b: 4, w: 29
r: 3, g: 3, u: 2, b: 4, w: 29
r: 4, g: 2, u: 2, b: 4, w: 29
r: 5, g: 1, u: 2, b: 4, w: 29
r: 1, g: 6, u: 1, b: 4, w: 29
r: 2, g: 5, u: 1, b: 4, w: 29
r: 3, g: 4, u: 1, b: 4, w: 29
r: 4, g: 3, u: 1, b: 4, w: 29
r: 5, g: 2, u: 1, b: 4, w: 29
r: 6, g: 1, u: 1, b: 4, w: 29
r: 1, g: 1, u: 7, b: 3, w: 29
r: 1, g: 2, u: 6, b: 3, w: 29
r: 2, g: 1, u: 6, b: 3, w: 29
r: 1, g: 3, u: 5, b: 3, w: 29
r: 2, g: 2, u: 5, b: 3, w: 29
r: 3, g: 1, u: 5, b: 3, w: 29
r: 1, g: 4, u: 4, b: 3, w: 29
r: 2, g: 3, u: 4, b: 3, w: 29
r: 3, g: 2, u: 4, b: 3, w: 29
r: 4, g: 1, u: 4, b: 3, w: 29
r: 1, g: 5, u: 3, b: 3, w: 29
r: 2, g: 4, u: 3, b: 3, w: 29
r: 3, g: 3, u: 3, b: 3, w: 29
r: 4, g: 2, u: 3, b: 3, w: 29
r: 5, g: 1, u: 3, b: 3, w: 29
r: 1, g: 6, u: 2, b: 3, w: 29
r: 2, g: 5, u: 2, b: 3, w: 29
r: 3, g: 4, u: 2, b: 3, w: 29
r: 4, g: 3, u: 2, b: 3, w: 29
r: 5, g: 2, u: 2, b: 3, w: 29
r: 6, g: 1, u: 2, b: 3, w: 29
r: 1, g: 7, u: 1, b: 3, w: 29
r: 2, g: 6, u: 1, b: 3, w: 29
r: 3, g: 5, u: 1, b: 3, w: 29
r: 4, g: 4, u: 1, b: 3, w: 29
r: 5, g: 3, u: 1, b: 3, w: 29
r: 6, g: 2, u: 1, b: 3, w: 29
r: 7, g: 1, u: 1, b: 3, w: 29
r: 1, g: 1, u: 8, b: 2, w: 29
r: 1, g: 2, u: 7, b: 2, w: 29
r: 2, g: 1, u: 7, b: 2, w: 29
r: 1, g: 3, u: 6, b: 2, w: 29
r: 2, g: 2, u: 6, b: 2, w: 29
r: 3, g: 1, u: 6, b: 2, w: 29
r: 1, g: 4, u: 5, b: 2, w: 29
r: 2, g: 3, u: 5, b: 2, w: 29
r: 3, g: 2, u: 5, b: 2, w: 29
r: 4, g: 1, u: 5, b: 2, w: 29
r: 1, g: 5, u: 4, b: 2, w: 29
r: 2, g: 4, u: 4, b: 2, w: 29
r: 3, g: 3, u: 4, b: 2, w: 29
r: 4, g: 2, u: 4, b: 2, w: 29
r: 5, g: 1, u: 4, b: 2, w: 29
r: 1, g: 6, u: 3, b: 2, w: 29
r: 2, g: 5, u: 3, b: 2, w: 29
r: 3, g: 4, u: 3, b: 2, w: 29
r: 4, g: 3, u: 3, b: 2, w: 29
r: 5, g: 2, u: 3, b: 2, w: 29
r: 6, g: 1, u: 3, b: 2, w: 29
r: 1, g: 7, u: 2, b: 2, w: 29
r: 2, g: 6, u: 2, b: 2, w: 29
r: 3, g: 5, u: 2, b: 2, w: 29
r: 4, g: 4, u: 2, b: 2, w: 29
r: 5, g: 3, u: 2, b: 2, w: 29
r: 6, g: 2, u: 2, b: 2, w: 29
r: 7, g: 1, u: 2, b: 2, w: 29
r: 1, g: 8, u: 1, b: 2, w: 29
r: 2, g: 7, u: 1, b: 2, w: 29
r: 3, g: 6, u: 1, b: 2, w: 29
r: 4, g: 5, u: 1, b: 2, w: 29
r: 5, g: 4, u: 1, b: 2, w: 29
r: 6, g: 3, u: 1, b: 2, w: 29
r: 7, g: 2, u: 1, b: 2, w: 29
r: 8, g: 1, u: 1, b: 2, w: 29
r: 1, g: 1, u: 9, b: 1, w: 29
r: 1, g: 2, u: 8, b: 1, w: 29
r: 2, g: 1, u: 8, b: 1, w: 29
r: 1, g: 3, u: 7, b: 1, w: 29
r: 2, g: 2, u: 7, b: 1, w: 29
r: 3, g: 1, u: 7, b: 1, w: 29
r: 1, g: 4, u: 6, b: 1, w: 29
r: 2, g: 3, u: 6, b: 1, w: 29
r: 3, g: 2, u: 6, b: 1, w: 29
r: 4, g: 1, u: 6, b: 1, w: 29
r: 1, g: 5, u: 5, b: 1, w: 29
r: 2, g: 4, u: 5, b: 1, w: 29
r: 3, g: 3, u: 5, b: 1, w: 29
r: 4, g: 2, u: 5, b: 1, w: 29
r: 5, g: 1, u: 5, b: 1, w: 29
r: 1, g: 6, u: 4, b: 1, w: 29
r: 2, g: 5, u: 4, b: 1, w: 29
r: 3, g: 4, u: 4, b: 1, w: 29
r: 4, g: 3, u: 4, b: 1, w: 29
r: 5, g: 2, u: 4, b: 1, w: 29
r: 6, g: 1, u: 4, b: 1, w: 29
r: 1, g: 7, u: 3, b: 1, w: 29
r: 2, g: 6, u: 3, b: 1, w: 29
r: 3, g: 5, u: 3, b: 1, w: 29
r: 4, g: 4, u: 3, b: 1, w: 29
r: 5, g: 3, u: 3, b: 1, w: 29
r: 6, g: 2, u: 3, b: 1, w: 29
r: 7, g: 1, u: 3, b: 1, w: 29
r: 1, g: 8, u: 2, b: 1, w: 29
r: 2, g: 7, u: 2, b: 1, w: 29
r: 3, g: 6, u: 2, b: 1, w: 29
r: 4, g: 5, u: 2, b: 1, w: 29
r: 5, g: 4, u: 2, b: 1, w: 29
r: 6, g: 3, u: 2, b: 1, w: 29
r: 7, g: 2, u: 2, b: 1, w: 29
r: 8, g: 1, u: 2, b: 1, w: 29
r: 1, g: 9, u: 1, b: 1, w: 29
r: 2, g: 8, u: 1, b: 1, w: 29
r: 3, g: 7, u: 1, b: 1, w: 29
r: 4, g: 6, u: 1, b: 1, w: 29
r: 5, g: 5, u: 1, b: 1, w: 29
r: 6, g: 4, u: 1, b: 1, w: 29
r: 7, g: 3, u: 1, b: 1, w: 29
r: 8, g: 2, u: 1, b: 1, w: 29
r: 9, g: 1, u: 1, b: 1, w: 29
r: 1, g: 1, u: 1, b: 10, w: 28
r: 1, g: 1, u: 2, b: 9, w: 28
r: 1, g: 2, u: 1, b: 9, w: 28
r: 2, g: 1, u: 1, b: 9, w: 28
r: 1, g: 1, u: 3, b: 8, w: 28
r: 1, g: 2, u: 2, b: 8, w: 28
r: 2, g: 1, u: 2, b: 8, w: 28
r: 1, g: 3, u: 1, b: 8, w: 28
r: 2, g: 2, u: 1, b: 8, w: 28
r: 3, g: 1, u: 1, b: 8, w: 28
r: 1, g: 1, u: 4, b: 7, w: 28
r: 1, g: 2, u: 3, b: 7, w: 28
r: 2, g: 1, u: 3, b: 7, w: 28
r: 1, g: 3, u: 2, b: 7, w: 28
r: 2, g: 2, u: 2, b: 7, w: 28
r: 3, g: 1, u: 2, b: 7, w: 28
r: 1, g: 4, u: 1, b: 7, w: 28
r: 2, g: 3, u: 1, b: 7, w: 28
r: 3, g: 2, u: 1, b: 7, w: 28
r: 4, g: 1, u: 1, b: 7, w: 28
r: 1, g: 1, u: 5, b: 6, w: 28
r: 1, g: 2, u: 4, b: 6, w: 28
r: 2, g: 1, u: 4, b: 6, w: 28
r: 1, g: 3, u: 3, b: 6, w: 28
r: 2, g: 2, u: 3, b: 6, w: 28
r: 3, g: 1, u: 3, b: 6, w: 28
r: 1, g: 4, u: 2, b: 6, w: 28
r: 2, g: 3, u: 2, b: 6, w: 28
r: 3, g: 2, u: 2, b: 6, w: 28
r: 4, g: 1, u: 2, b: 6, w: 28
r: 1, g: 5, u: 1, b: 6, w: 28
r: 2, g: 4, u: 1, b: 6, w: 28
r: 3, g: 3, u: 1, b: 6, w: 28
r: 4, g: 2, u: 1, b: 6, w: 28
r: 5, g: 1, u: 1, b: 6, w: 28
r: 1, g: 1, u: 6, b: 5, w: 28
r: 1, g: 2, u: 5, b: 5, w: 28
r: 2, g: 1, u: 5, b: 5, w: 28
r: 1, g: 3, u: 4, b: 5, w: 28
r: 2, g: 2, u: 4, b: 5, w: 28
r: 3, g: 1, u: 4, b: 5, w: 28
r: 1, g: 4, u: 3, b: 5, w: 28
r: 2, g: 3, u: 3, b: 5, w: 28
r: 3, g: 2, u: 3, b: 5, w: 28
r: 4, g: 1, u: 3, b: 5, w: 28
r: 1, g: 5, u: 2, b: 5, w: 28
r: 2, g: 4, u: 2, b: 5, w: 28
r: 3, g: 3, u: 2, b: 5, w: 28
r: 4, g: 2, u: 2, b: 5, w: 28
r: 5, g: 1, u: 2, b: 5, w: 28
r: 1, g: 6, u: 1, b: 5, w: 28
r: 2, g: 5, u: 1, b: 5, w: 28
r: 3, g: 4, u: 1, b: 5, w: 28
r: 4, g: 3, u: 1, b: 5, w: 28
r: 5, g: 2, u: 1, b: 5, w: 28
r: 6, g: 1, u: 1, b: 5, w: 28
r: 1, g: 1, u: 7, b: 4, w: 28
r: 1, g: 2, u: 6, b: 4, w: 28
r: 2, g: 1, u: 6, b: 4, w: 28
r: 1, g: 3, u: 5, b: 4, w: 28
r: 2, g: 2, u: 5, b: 4, w: 28
r: 3, g: 1, u: 5, b: 4, w: 28
r: 1, g: 4, u: 4, b: 4, w: 28
r: 2, g: 3, u: 4, b: 4, w: 28
